signal,prompt,human_response,human_correctness,n_words,hits,transcript_enhanced,transcript_clean,hidden_file
S09262_L0209_E013,then we can get the help we need,then we can that the help you need,75.0,8,6,Then we can get the help we need.,Then we can get the help we need.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09262_L0209_E013.pt
S09264_L0209_E013,i've had to be very strong through this,i've had to be very strong through this,100.0,8,8,I've had to be very strong through this.,I've had to be very strong through this.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09264_L0209_E013.pt
S09265_L0218_E013,i think you could consider that a brush off,i think you could consider that a brush off ,100.0,9,9,I think you could consider that a brush-off.,I think you could consider that a brush-off.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09265_L0218_E013.pt
S09270_L0239_E013,thought you were our missing best man come at last,thought you were man come at last,70.0,10,7,Thought you were our missing best man come at last.,Thought you were our missing best man come at last.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09270_L0239_E013.pt
S09271_L0222_E013,i don't want to go home sir,i don't want to go home sir,100.0,7,7,I don't want to go home sir.,"I don't want to go home, sir.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09271_L0222_E013.pt
S09274_L0209_E013,that is good you will be open to education,that is good you will be open to education,100.0,9,9,That is good. You will be open to education.,That is good. You will be open to education.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09274_L0209_E013.pt
S09276_L0243_E013,but how did you know about me,but how did you know about me ,100.0,7,7,But how did you know about me?,But how did you know about me?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09276_L0243_E013.pt
S09277_L0218_E013,the van began to move forward again,the van began to move forward again,100.0,7,7,The van began to move forward again.,The van began to move forward again.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09277_L0218_E013.pt
S09277_L0221_E013,the van began to move forward again,the man began to move forward again,85.7142857143,7,6,The van began to move forward again.,The van began to move forward again.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09277_L0221_E013.pt
S09280_L0218_E013,i urge you all to be most careful,i urge you all to be most careful ,100.0,8,8,I urge you all to be most careful.,I urge you all to be most careful.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09280_L0218_E013.pt
S09280_L0221_E013,i urge you all to be most careful,i urge you all to be most careful,100.0,8,8,I urge you all to be most careful.,I urge you all to be most careful.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09280_L0221_E013.pt
S09281_L0224_E013,of course i do with great skill,of course i do with great,85.7142857143,7,6,"Of course I do, with great skill.","Of course I do, with great skill.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09281_L0224_E013.pt
S09282_L0206_E013,it's a tradition or an old charter or something,it's a tradition or old charter or something,88.8888888889,9,8,It's a tradition or an old charter or something.,It's a tradition or an old charter or something.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09282_L0206_E013.pt
S09282_L0212_E013,it's a tradition or an old charter or something,it's a tradition or an old charter or something,100.0,9,9,It's a tradition or an old charter or something.,It's a tradition or an old charter or something.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09282_L0212_E013.pt
S09288_L0229_E013,besides then i can get a female,beside then i can get a female,85.7142857143,7,6,"Besides, then I can get a female.","Besides, then I can get a female.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09288_L0229_E013.pt
S09297_L0224_E013,we will have to be careful he said,we will have to be careful he said ,100.0,8,8,"We will have to be careful, he said.","We will have to be careful,"" he said.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09297_L0224_E013.pt
S09306_L0209_E013,the distinction above is one without a difference,but earth without is no,12.5,8,1,The distinction above is one without a difference.,The distinction above is one without a difference.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09306_L0209_E013.pt
S09308_L0218_E013,rain or no rain i must get on my way,rain or no rain i must get on my way,100.0,10,10,"Rain or no rain, I must get on my way.","Rain or no rain, I must get on my way.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09308_L0218_E013.pt
S09314_L0229_E013,the man with one arm says anna,the man with one arm says anna,100.0,7,7,The man with one arm says Anna.,"The man with one arm, says Anna.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09314_L0229_E013.pt
S09315_L0243_E013,home rule was just around the corner,her rule is just around the corner ,71.4285714286,7,5,Home rule was just around the corner.,Home rule was just around the corner.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09315_L0243_E013.pt
S09317_L0236_E013,how free is a free public house,how pre is,28.5714285714,7,2,How free is a free public house?,How free is a free public house?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09317_L0236_E013.pt
S09321_L0229_E013,we must now look at that bourgeois society,we must now look at that bourgeois society,100.0,8,8,We must now look at that bourgeois society.,We must now look at that bourgeois society.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09321_L0229_E013.pt
S09321_L0242_E013,we must now look at that bourgeois society,we must now look at that bourgeois society,100.0,8,8,We must now look at that bourgeois society.,We must now look at that bourgeois society.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09321_L0242_E013.pt
S09325_L0216_E013,i wouldn't dream of taking them before a race,i wouldn't dream of taking them before a race,100.0,9,9,I wouldn't dream of taking them before a race.,I wouldn't dream of taking them before a race.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09325_L0216_E013.pt
S09328_L0229_E013,she forced herself to look away from him,she forced herself to look away from him,100.0,8,8,She forced herself to look away from him.,She forced herself to look away from him.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09328_L0229_E013.pt
S09328_L0242_E013,she forced herself to look away from him,she forced herself to look away from him,100.0,8,8,She forced herself to look away from him.,She forced herself to look away from him.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09328_L0242_E013.pt
S09329_L0212_E013,police were forced to clear the court,police were forced to clear the court,100.0,7,7,Police were forced to clear the court.,Police were forced to clear the court.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09329_L0212_E013.pt
S09329_L0221_E013,police were forced to clear the court,a lease was forced to clear the court,71.4285714286,7,5,Police were forced to clear the court.,Police were forced to clear the court.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09329_L0221_E013.pt
S09332_L0212_E013,i've decided to get you out of here,i've decided to get you out of here,100.0,8,8,I've decided to get you out of here.,I've decided to get you out of here.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09332_L0212_E013.pt
S09332_L0221_E013,i've decided to get you out of here,i've decided to get you out of here,100.0,8,8,I've decided to get you out of here.,I've decided to get you out of here.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09332_L0221_E013.pt
S09339_L0217_E013,there was a harsh note in his voice,there was a harsh note in his voice,100.0,8,8,There was a harsh note in his voice.,There was a harsh note in his voice.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09339_L0217_E013.pt
S09341_L0201_E013,would you be so kind as to repeat them again,would you be so kind as to repeat them again,100.0,10,10,Would you be so kind as to repeat them again?,Would you be so kind as to repeat them again?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09341_L0201_E013.pt
S09342_L0218_E013,at least she thought i will die touching something beautiful,at least i will die suffering ,50.0,10,5,"At least, she thought, I will die touching something beautiful.","At least, she thought, I will die touching something beautiful.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09342_L0218_E013.pt
S09345_L0231_E013,we have had discussion about the word federal,we have had discussion about the word federal ,100.0,8,8,We have had discussion about the word federal.,We have had discussion about the word federal.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09345_L0231_E013.pt
S09346_L0215_E013,it was my choice to stop working,it was my choice to start working,85.7142857143,7,6,It was my choice to stop working.,It was my choice to stop working.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09346_L0215_E013.pt
S09366_L0216_E013,how did you know about my father and my uncle,how did you know about my son and my uncle,90.0,10,9,How did you know about my father and my uncle?,How did you know about my father and my uncle?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09366_L0216_E013.pt
S09377_L0229_E013,but it just grew out of all proportion,but it just grew out of all proportion,100.0,8,8,But it just grew out of all proportion.,But it just grew out of all proportion.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09377_L0229_E013.pt
S09377_L0242_E013,but it just grew out of all proportion,but it just grew out of all proportion,100.0,8,8,But it just grew out of all proportion.,But it just grew out of all proportion.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09377_L0242_E013.pt
S09380_L0201_E013,and what a hit the cup was,and what is,28.5714285714,7,2,And what a hit the cup was!,And what a hit the cup was!,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09380_L0201_E013.pt
S09382_L0239_E013,he is a simple man and old,he is a simple man and,85.7142857143,7,6,He is a simple man and old.,He is a simple man and old.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09382_L0239_E013.pt
S09386_L0227_E013,they have been absolutely terrific he says,that was absolutely deliberate,14.2857142857,7,1,"They have been absolutely terrific, he says.","They have been absolutely terrific, he says.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09386_L0227_E013.pt
S09387_L0227_E013,none of the people in this plane has hurt you,,0.0,10,0,None of the people in this plane has hurt you.,None of the people in this plane has hurt you.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09387_L0227_E013.pt
S09396_L0229_E013,but this is more out of opportunity than necessity,but this is more out of opportunity than necessity,100.0,9,9,But this is more out of opportunity than necessity.,But this is more out of opportunity than necessity.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09396_L0229_E013.pt
S09397_L0219_E013,it isn't like going to the lavatory,he did not like going to the lavatory,71.4285714286,7,5,It isn't like going to the lavatory.,It isn't like going to the lavatory.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09397_L0219_E013.pt
S09398_L0201_E013,i thought i ought to ask him,i think i ought to ask him,85.7142857143,7,6,I thought I ought to ask him.,I thought I ought to ask him.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09398_L0201_E013.pt
S09402_L0225_E013,he's a bit young of course but a bright boy,he's a bit young of course but a bright boy,100.0,10,10,"He's a bit young of course, but a bright boy.","He's a bit young of course, but a bright boy.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09402_L0225_E013.pt
S09402_L0231_E013,he's a bit young of course but a bright boy,he's a bit young of course but a bright boy ,100.0,10,10,"He's a bit young of course, but a bright boy.","He's a bit young of course, but a bright boy.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09402_L0231_E013.pt
S09406_L0215_E013,tell me what you made of her,tell me what you know of trevor,71.4285714286,7,5,Tell me what you made of her.,Tell me what you made of her.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09406_L0215_E013.pt
S09426_L0227_E013,it's very busy out on this road sir,,0.0,8,0,"It's very busy out on this road, sir.","It's very busy out on this road, sir.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09426_L0227_E013.pt
S09436_L0216_E013,what can i do for you chief inspector,what can i do for you chief inspector,100.0,8,8,"What can I do for you, Chief Inspector?","What can I do for you, Chief Inspector?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09436_L0216_E013.pt
S09438_L0239_E013,people think they ought to do something for you,people think we ought to do something for you,88.8888888889,9,8,People think they ought to do something for you.,People think they ought to do something for you.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09438_L0239_E013.pt
S09446_L0201_E013,she did but in a roundabout way,she did but in a round about way,85.7142857143,7,6,"She did, but in a roundabout way.",She did but in a roundabout way.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09446_L0201_E013.pt
S09450_L0227_E013,the district society is not alone in its call,time,0.0,9,0,The district society is not alone in its call.,The district society is not alone in its call.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09450_L0227_E013.pt
S09451_L0229_E013,jack raised one hand in a feeble salute,jack raised one hand in a feeble salute,100.0,8,8,Jack raised one hand in a feeble salute.,Jack raised one hand in a feeble salute.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09451_L0229_E013.pt
S09452_L0225_E013,he was speaking with sham formality again,he was speaking with sham formality again,100.0,7,7,He was speaking with sham formality again.,He was speaking with sham formality again.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09452_L0225_E013.pt
S09452_L0231_E013,he was speaking with sham formality again,he was speaking with sham formality again,100.0,7,7,He was speaking with sham formality again.,He was speaking with sham formality again.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09452_L0231_E013.pt
S09455_L0215_E013,tonight she would be cool and in command,tonight she will be cool and in command,87.5,8,7,Tonight she would be cool and in command.,Tonight she would be cool and in command.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09455_L0215_E013.pt
S09459_L0215_E013,if only there were something substantial to hide behind,if there was only something substantial to hide behind,66.6666666667,9,6,If only there was something substantial to hide behind.,If only there was something substantial to hide behind.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09459_L0215_E013.pt
S09460_L0216_E013,you can live there the rest of your life,you can live there the rest of your life,100.0,9,9,You can live there the rest of your life.,You can live there the rest of your life.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09460_L0216_E013.pt
S09463_L0209_E013,would you give me your view of the problem,would you give me your view of the problem,100.0,9,9,Would you give me your view of the problem?,Would you give me your view of the problem?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09463_L0209_E013.pt
S09470_L0201_E013,does he talk to you about the medieval circle,,0.0,9,0,Let him talk to you about the medieval circle.,Does he talk to you about the medieval circle?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09470_L0201_E013.pt
S09476_L0209_E013,i wouldn't repeat what i said not to anybody,i wouldn't repeat what i said not to anybody,100.0,9,9,"I wouldn't repeat what I said, not to anybody.","I wouldn't repeat what I said, not to anybody.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09476_L0209_E013.pt
S09480_L0212_E013,but i have always felt rather uncomfortable in her presence,but i have always felt rather uncomfortable in a certain,80.0,10,8,But I have always felt rather uncomfortable in her presence.,But I have always felt rather uncomfortable in her presence.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09480_L0212_E013.pt
S09480_L0221_E013,but i have always felt rather uncomfortable in her presence,but i have always felt rather uncomfortable in her presence,100.0,10,10,But I have always felt rather uncomfortable in her presence.,But I have always felt rather uncomfortable in her presence.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09480_L0221_E013.pt
S09485_L0236_E013,the supermarket fruit with that little extra bite,the supermarket fruit with that little extra bite,100.0,8,8,The supermarket fruit with that little extra bite.,The supermarket fruit with that little extra bite.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09485_L0236_E013.pt
S09488_L0239_E013,season the lamb with salt and black pepper,season with black salt pepper,37.5,8,3,Season the lamb with salt and black pepper.,Season the lamb with salt and black pepper.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09488_L0239_E013.pt
S09500_L0239_E013,it was a silly thing to say,was a silly thing to say,85.7142857143,7,6,It was a silly thing to say.,It was a silly thing to say.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09500_L0239_E013.pt
S09502_L0240_E013,didn't i dig that up a day or two ago,didn't i dig that up a day or two ago,100.0,10,10,Didn't I dig that up a day or two ago?,Didn't I dig that up a day or two ago?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09502_L0240_E013.pt
S09509_L0227_E013,now you really look very nice in that,no you look really nice in that,62.5,8,5,"Now, you really look very nice in that.","Now, you really look very nice in that.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09509_L0227_E013.pt
S09510_L0201_E013,i want to hear that voice again,i want to hear that voice again,100.0,7,7,I want to hear that voice again.,I want to hear that voice again.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09510_L0201_E013.pt
S09515_L0229_E013,wait there is something else i must teach you,wait there is something else i must teach you,100.0,9,9,"Wait, there is something else I must teach you.","Wait, there is something else I must teach you.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09515_L0229_E013.pt
S09515_L0242_E013,wait there is something else i must teach you,right there is something else i must teach you,88.8888888889,9,8,"Wait, there is something else I must teach you.","Wait, there is something else I must teach you.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09515_L0242_E013.pt
S09525_L0217_E013,if this is not possible she is best removed,if this is not possible she is best removed,100.0,9,9,"If this is not possible, she is best removed.","If this is not possible, she is best removed.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09525_L0217_E013.pt
S09529_L0239_E013,so here i am in this damp cell now,so hear i am in this damp,77.7777777778,9,7,So here I am in this damp cell now.,So here I am in this damp cell now.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09529_L0239_E013.pt
S09532_L0201_E013,it's my intention that they appear on my gravestone,it's my intention that they appear on my gravestone,100.0,9,9,It's my intention that they appear on my gravestone.,It's my intention that they appear on my gravestone.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09532_L0201_E013.pt
S09533_L0231_E013,tuesday is also usually the interview day,tuesday is usually also the interview date ,57.1428571429,7,4,Tuesday is also usually the interview day.,Tuesday is also usually the interview day.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09533_L0231_E013.pt
S09540_L0215_E013,you could buy your own fighter plane for that,you could buy your own fighter plane for that,100.0,9,9,You can buy your own fighter plane for that.,You could buy your own fighter plane for that.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09540_L0215_E013.pt
S09542_L0243_E013,as well it might be i thought,as well it might be i thought ,100.0,7,7,"As well it might be, I thought.","As well it might be, I thought.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09542_L0243_E013.pt
S09543_L0224_E013,what did you think of him personally,what did you think of him personally ,100.0,7,7,What did you think of him personally?,What did you think of him personally?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09543_L0224_E013.pt
S09546_L0200_E013,these are the army and the police out of uniform,these are the police and the army out of uniform,80.0,10,8,These are the Army and the police out of uniform.,These are the Army and the Police out of uniform.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09546_L0200_E013.pt
S09553_L0236_E013,what made you decide that you didn't have a vocation,what made you decide you didn't have a vocation,90.0,10,9,What made you decide that you didn't have a vocation?,What made you decide that you didn't have a vocation?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09553_L0236_E013.pt
S09554_L0206_E013,until the police arrive i need to be alone,until the police arrive i need to be alone,100.0,9,9,"Until the police arrive, I need to be alone.",Until the police arrive I need to be alone.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09554_L0206_E013.pt
S09564_L0217_E013,but i put on a bright new grin,but i put on a bright new,87.5,8,7,But I put on a bright new grin.,But I put on a bright new grin.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09564_L0217_E013.pt
S09571_L0222_E013,this is thought to reflect a selection bias,this is thought to present selection bias,75.0,8,6,This is thought to reflect a selection bias.,This is thought to reflect a selection bias.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09571_L0222_E013.pt
S09573_L0224_E013,but she had no satisfactory answer to that,but she had no satisfactory answer to that,100.0,8,8,But she had no satisfactory answer to that.,But she had no satisfactory answer to that.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09573_L0224_E013.pt
S09574_L0227_E013,this study is designed to provide such evidence,catch up with him,0.0,8,0,This study is designed to provide such evidence.,This study is designed to provide such evidence.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09574_L0227_E013.pt
S09577_L0206_E013,what time did he get home last night,what time did you get home last night,87.5,8,7,What time did he get home last night?,What time did he get home last night?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09577_L0206_E013.pt
S09580_L0227_E013,yet they do appear to be making money,to be fair,25.0,8,2,Yet they do appear to be making money.,Yet they do appear to be making money.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09580_L0227_E013.pt
S09581_L0201_E013,she came between me and my wife,she came between me and my wife,100.0,7,7,She came between me and my wife.,She came between me and my wife.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09581_L0201_E013.pt
S09586_L0206_E013,finally he put it in his mouth,and finally he put it in his mouth,100.0,7,7,"Finally, he put it in his mouth.","Finally, he put it in his mouth.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09586_L0206_E013.pt
S09589_L0239_E013,you want to go over there then,you want to go over there then,100.0,7,7,You want to go over there then?,You want to go over there then?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09589_L0239_E013.pt
S09593_L0216_E013,she decided to extricate herself with dignity,she decided to extricate herself with dignity,100.0,7,7,She decided to extricate herself with dignity.,She decided to extricate herself with dignity.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09593_L0216_E013.pt
S09596_L0217_E013,we kill them and they kill us,we kill them and they kill us,100.0,7,7,We kill them and they kill us.,We kill them and they kill us.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09596_L0217_E013.pt
S09606_L0217_E013,when are we going to have a game again,when are we going to have again,77.7777777778,9,7,When are we going to have a game again?,When are we going to have a game again?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09606_L0217_E013.pt
S09613_L0227_E013,there is no distinctive british contribution and can be none,next british,10.0,10,1,There is no distinctive British contribution and can be none.,There is no distinctive British contribution and can be none.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09613_L0227_E013.pt
S09616_L0200_E013,the private dirt track led directly to it,the private dirt track lead directly to it,87.5,8,7,The private dirt track led directly to it.,The private dirt track led directly to it.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09616_L0200_E013.pt
S09620_L0240_E013,into the fire with the dead meat,into the fire with the dead meat ,100.0,7,7,Into the fire with the dead meat.,into the fire with the dead meat.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09620_L0240_E013.pt
S09625_L0200_E013,he made a sudden dash for the undergrowth,he made a sudden dash for the undergrowth,100.0,8,8,He made a sudden dash for the undergrowth.,He made a sudden dash for the undergrowth.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09625_L0200_E013.pt
S09625_L0240_E013,he made a sudden dash for the undergrowth,he made a sudden dash for the undergrowth,100.0,8,8,He made a sudden dash for the undergrowth.,He made a sudden dash for the undergrowth.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09625_L0240_E013.pt
S09626_L0218_E013,jealousy had pierced his side like a spear,jealousy had pierced his side like a spear,100.0,8,8,Jealousy had pierced his side like a spear.,Jealousy had pierced his side like a spear.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09626_L0218_E013.pt
S09627_L0215_E013,quite possibly it reverted to its former use,quite possibly it reverts to its former use,87.5,8,7,Quite possibly it reverted to its former use.,Quite possibly it reverted to its former use.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09627_L0215_E013.pt
S09628_L0222_E013,i'm not going to please you by doing that,i'm not going to please you by doing that,100.0,9,9,I'm not going to please you by doing that.,I'm not going to please you by doing that.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09628_L0222_E013.pt
S09634_L0236_E013,no news at all of him i'm afraid,may is using the toilet i'm afraid,25.0,8,2,"No news at all of him, I'm afraid.","No news at all of him, I'm afraid.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09634_L0236_E013.pt
S09637_L0240_E013,take a look at them will you,take a look at them would you,85.7142857143,7,6,"Take a look at them, will you?",Take a look at them will you?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09637_L0240_E013.pt
S09641_L0224_E013,is there going to be a book,is there going to be a book,100.0,7,7,Is there going to be a book?,Is there going to be a book?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09641_L0224_E013.pt
S09646_L0225_E013,any kind of treatment or rehabilitation is impossible,any kind of treatment or rehabilitation is impossible,100.0,8,8,Any kind of treatment or rehabilitation is impossible.,Any kind of treatment or rehabilitation is impossible.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09646_L0225_E013.pt
S09646_L0231_E013,any kind of treatment or rehabilitation is impossible,any kind of treatment or rehabilitation was impossible ,87.5,8,7,Any kind of treatment or rehabilitation is impossible.,Any kind of treatment or rehabilitation is impossible.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09646_L0231_E013.pt
S09649_L0225_E013,money apparently was no object although there was no money,money was no object although there was no money,90.0,10,9,"Money apparently was no object, although there was no money.","Money apparently was no object, although there was no money.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09649_L0225_E013.pt
S09649_L0231_E013,money apparently was no object although there was no money,money apparently was no object but there was no money,90.0,10,9,"Money apparently was no object, although there was no money.","Money apparently was no object, although there was no money.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09649_L0231_E013.pt
S09666_L0229_E013,smoking is dangerous for you and your baby,smoking is dangerous for you and your baby,100.0,8,8,Smoking is dangerous for you and your baby.,Smoking is dangerous for you and your baby.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09666_L0229_E013.pt
S09669_L0227_E013,she will travel there later this afternoon from here,travel ideal,11.1111111111,9,1,She will travel there later this afternoon from here.,She will travel there later this afternoon from here.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09669_L0227_E013.pt
S09670_L0225_E013,just get over there and start working,just get over there and start working,100.0,7,7,Just get over there and start working.,Just get over there and start working.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09670_L0225_E013.pt
S09673_L0236_E013,there was no such basis available for women,there were no such spaces available for women,75.0,8,6,There was no such basis available for women.,There was no such basis available for women.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09673_L0236_E013.pt
S09676_L0224_E013,nobody is about to tell me though,nobody is about to tell me though,100.0,7,7,"Nobody is about to tell me, though.",Nobody is about to tell me though.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09676_L0224_E013.pt
S09678_L0206_E013,don't tell me about the girl who lost her childhood,don't tell me about the child who lost her childhood,90.0,10,9,Don't tell me about the girl who lost her childhood.,Don't tell me about the girl who lost her childhood.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09678_L0206_E013.pt
S09678_L0212_E013,don't tell me about the girl who lost her childhood,don't tell me about the day she left her childhood,70.0,10,7,Don't tell me about the girl who lost her childhood.,Don't tell me about the girl who lost her childhood.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09678_L0212_E013.pt
