signal,prompt,human_response,human_correctness,n_words,hits,transcript_enhanced,wcs,correct_words,transcript_clean,hidden_file
S09500_L0217_E009,it was a silly thing to say,it was a silly thing to say,100.0,7,7,It was a silly thing to say.,100.0,it was a silly thing to say,It was a silly thing to say.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09500_L0217_E009.pt
S09502_L0225_E009,didn't i dig that up a day or two ago,didn't i dig that up a day or two ago,100.0,10,10,Didn't I dig that up a day or two ago?,100.0,didn't i dig that up a day or two ago,Didn't I dig that up a day or two ago?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09502_L0225_E009.pt
S09502_L0231_E009,didn't i dig that up a day or two ago,didn't i dig that up a day or two ago,100.0,10,10,Didn't I dig that up a day or two ago?,100.0,didn't i dig that up a day or two ago,Didn't I dig that up a day or two ago?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09502_L0231_E009.pt
S09509_L0206_E009,now you really look very nice in that,now you look very nice in that,87.5,8,7,"Now, you really look very nice in that.",100.0,now you really look very nice in that,"Now, you really look very nice in that.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09509_L0206_E009.pt
S09509_L0212_E009,now you really look very nice in that,now you really look very nice in that,100.0,8,8,"Now, you really look very nice in that.",100.0,now you really look very nice in that,"Now, you really look very nice in that.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09509_L0212_E009.pt
S09515_L0201_E009,wait there is something else i must teach you,wait there is something else i must teach you,100.0,9,9,"Wait, there is something else I must teach you.",100.0,wait there is something else i must teach you,"Wait, there is something else I must teach you.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09515_L0201_E009.pt
S09519_L0218_E009,you didn't ask who he got his information from,you didn't ask who he got his information from,100.0,9,9,You didn't ask who he got his information from.,100.0,you didn't ask who he got his information from,You didn't ask who he got his information from.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09519_L0218_E009.pt
S09519_L0221_E009,you didn't ask who he got his information from,you didn't ask where he got his information from,88.8888888889,9,8,You didn't ask who he got his information from.,100.0,you didn't ask who he got his information from,You didn't ask who he got his information from.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09519_L0221_E009.pt
S09525_L0215_E009,if this is not possible she is best removed,this is not possible she is less than me,66.6666666667,9,6,"If this is not possible, she is best removed.",100.0,if this is not possible she is best removed,"If this is not possible, she is best removed.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09525_L0215_E009.pt
S09529_L0217_E009,so here i am in this damp cell now,so here i am in this damp,77.7777777778,9,7,So here I am in this damp cell now.,100.0,so here i am in this damp cell now,So here I am in this damp cell now.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09529_L0217_E009.pt
S09533_L0209_E009,tuesday is also usually the interview day,tuesday is also usually the interview day,100.0,7,7,Tuesday is also usually the interview day.,100.0,tuesday is also usually the interview day,Tuesday is also usually the interview day.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09533_L0209_E009.pt
S09540_L0218_E009,you could buy your own fighter plane for that,you could buy your own fighter plane for that,100.0,9,9,You could buy your own fighter plane for that.,100.0,you could buy your own fighter plane for that,You could buy your own fighter plane for that.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09540_L0218_E009.pt
S09542_L0229_E009,as well it might be i thought,as well as i thought,57.1428571429,7,4,"As well as my cities, I shall.",42.857142857142854,as well i,"As well it might be, I thought.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09542_L0229_E009.pt
S09542_L0242_E009,as well it might be i thought,,0.0,7,0,"As well as my spirit, I shall.",42.857142857142854,as well i,"As well it might be, I thought.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09542_L0242_E009.pt
S09543_L0222_E009,what did you think of him personally,what did you think,57.1428571429,7,4,What did you think of the person?,71.42857142857143,what did you think of,What did you think of him personally?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09543_L0222_E009.pt
S09546_L0216_E009,these are the army and the police out of uniform,these are the army and the police out of uniform,100.0,10,10,These are the Army and the police out of uniform.,100.0,these are the army and the police out of uniform,These are the Army and the Police out of uniform.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09546_L0216_E009.pt
S09553_L0227_E009,what made you decide that you didn't have a vocation,what made you decide that you didn't have a vocation,100.0,10,10,What made you decide that you didn't have a vocation?,100.0,what made you decide that you didn't have a vocation,What made you decide that you didn't have a vocation?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09553_L0227_E009.pt
S09554_L0200_E009,until the police arrive i need to be alone,until the police arrive i need to be alone,100.0,9,9,"Until the police arrive, I need to be alone.",100.0,until the police arrive i need to be alone,Until the police arrive I need to be alone.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09554_L0200_E009.pt
S09564_L0215_E009,but i put on a bright new grin,but i put on a bright new brim,87.5,8,7,But I put on a bright new grin.,100.0,but i put on a bright new grin,But I put on a bright new grin.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09564_L0215_E009.pt
S09569_L0222_E009,that will not be necessary he told her,that will not be necessary he told her,100.0,8,8,"That will not be necessary, he told her.",100.0,that will not be necessary he told her,"That will not be necessary, he told her.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09569_L0222_E009.pt
S09571_L0236_E009,this is thought to reflect a selection bias,this is thought to reflect a selection bias,100.0,8,8,This is thought to reflect a selection bias.,100.0,this is thought to reflect a selection bias,This is thought to reflect a selection bias.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09571_L0236_E009.pt
S09573_L0219_E009,but she had no satisfactory answer to that,satisfactory answer to that,50.0,8,4,But she had no satisfactory answer to that.,100.0,but she had no satisfactory answer to that,But she had no satisfactory answer to that.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09573_L0219_E009.pt
S09574_L0212_E009,this study is designed to provide such evidence,his daddy had declined to provide such evidence,50.0,8,4,This study is designed to provide such evidence.,100.0,this study is designed to provide such evidence,This study is designed to provide such evidence.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09574_L0212_E009.pt
S09574_L0221_E009,this study is designed to provide such evidence,this study is designed to provide such evidence,100.0,8,8,This study is designed to provide such evidence.,100.0,this study is designed to provide such evidence,This study is designed to provide such evidence.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09574_L0221_E009.pt
S09577_L0200_E009,what time did he get home last night,what time did he get home last night,100.0,8,8,What time did he get home last night?,100.0,what time did he get home last night,What time did he get home last night?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09577_L0200_E009.pt
S09579_L0219_E009,normal practice is to offer club membership,normal practice is to offer club membership,100.0,7,7,Normal practice is to offer club membership.,100.0,normal practice is to offer club membership,Normal practice is to offer club membership.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09579_L0219_E009.pt
S09579_L0225_E009,normal practice is to offer club membership,normal practice is to offer club membership,100.0,7,7,Normal practice is to offer club membership.,100.0,normal practice is to offer club membership,Normal practice is to offer club membership.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09579_L0225_E009.pt
S09580_L0212_E009,yet they do appear to be making money,yet they do appear to be making money,100.0,8,8,Yet they do appear to be making money.,100.0,yet they do appear to be making money,Yet they do appear to be making money.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09580_L0212_E009.pt
S09580_L0221_E009,yet they do appear to be making money,yet they do appear to be making money,100.0,8,8,Yet they do appear to be making money.,100.0,yet they do appear to be making money,Yet they do appear to be making money.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09580_L0221_E009.pt
S09586_L0200_E009,finally he put it in his mouth,men,0.0,7,0,"Finally, the prodigy was made.",14.285714285714286,finally,"Finally, he put it in his mouth.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09586_L0200_E009.pt
S09587_L0219_E009,i did tell you how old i am didn't i,i did tell you how old i am didn't i,100.0,10,10,"I did tell you how old I am, didn't I?",100.0,i did tell you how old i am didn't i,"I did tell you how old I am, didn't I?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09587_L0219_E009.pt
S09587_L0225_E009,i did tell you how old i am didn't i,i did tell you how old i am didn't i,100.0,10,10,"I did tell you how old I am, didn't I?",100.0,i did tell you how old i am didn't i,"I did tell you how old I am, didn't I?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09587_L0225_E009.pt
S09589_L0217_E009,you want to go over there then,,0.0,7,0,Looks like I'm going to have to...,14.285714285714286,to,You want to go over there then?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09589_L0217_E009.pt
S09593_L0239_E009,she decided to extricate herself with dignity,she decided to extricate herself with dignity,100.0,7,7,She decided to extricate herself with dignity.,100.0,she decided to extricate herself with dignity,She decided to extricate herself with dignity.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09593_L0239_E009.pt
S09596_L0215_E009,we kill them and they kill us,we kill them and they kill us,100.0,7,7,We kill them and they kill us.,100.0,we kill them and they kill us,We kill them and they kill us.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09596_L0215_E009.pt
S09606_L0215_E009,when are we going to have a game again,when does the danger have its own again,33.3333333333,9,3,When are we going to have a game again?,100.0,when are we going to have a game again,When are we going to have a game again?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09606_L0215_E009.pt
S09613_L0212_E009,there is no distinctive british contribution and can be none,there is no distinctive british contribution there can be none,90.0,10,9,There is no distinctive British contribution and can be none.,100.0,there is no distinctive british contribution and can be none,There is no distinctive British contribution and can be none.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09613_L0212_E009.pt
S09613_L0221_E009,there is no distinctive british contribution and can be none,there is no distinctive british contribution and can be none,100.0,10,10,There is no distinctive British contribution and can be none.,100.0,there is no distinctive british contribution and can be none,There is no distinctive British contribution and can be none.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09613_L0221_E009.pt
S09615_L0222_E009,still to come on central news the peak of ambition,still to come on central news the peak of ambition,100.0,10,10,"Still to come on Central News, the peak of ambition.",100.0,still to come on central news the peak of ambition,"Still to come on Central News, the peak of ambition.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09615_L0222_E009.pt
S09616_L0216_E009,the private dirt track led directly to it,the private dirt track lead directly to it,87.5,8,7,The private dirt track led directly to it.,100.0,the private dirt track led directly to it,The private dirt track led directly to it.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09616_L0216_E009.pt
S09620_L0225_E009,into the fire with the dead meat,into the fire with the dead meat,100.0,7,7,into the fire with the dead meat.,100.0,into the fire with the dead meat,into the fire with the dead meat.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09620_L0225_E009.pt
S09620_L0231_E009,into the fire with the dead meat,into the fire with the dead meat ,100.0,7,7,into the fire with the dead meat.,100.0,into the fire with the dead meat,into the fire with the dead meat.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09620_L0231_E009.pt
S09621_L0216_E009,this time he was going to have everything covered,this time he was going to have everything covered,100.0,9,9,This time he was going to have everything covered.,100.0,this time he was going to have everything covered,This time he was going to have everything covered.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09621_L0216_E009.pt
S09625_L0231_E009,he made a sudden dash for the undergrowth,he made a sudden dash for the undergrowth,100.0,8,8,He made a sudden dash for the undergrad.,87.5,he made a sudden dash for the,He made a sudden dash for the undergrowth.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09625_L0231_E009.pt
S09626_L0224_E009,jealousy had pierced his side like a spear,jealousy had pierced his side like a spear ,100.0,8,8,Jealousy had pierced his side like a spear.,100.0,jealousy had pierced his side like a spear,Jealousy had pierced his side like a spear.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09626_L0224_E009.pt
S09627_L0218_E009,quite possibly it reverted to its former use,quite possibly it reverted to its former use ,100.0,8,8,Quite possibly it reverted to its former use.,100.0,quite possibly it reverted to its former use,Quite possibly it reverted to its former use.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09627_L0218_E009.pt
S09628_L0236_E009,i'm not going to please you by doing that,i'm not going to please you by doing that,100.0,9,9,I'm not going to please you by doing that.,100.0,i'm not going to please you by doing that,I'm not going to please you by doing that.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09628_L0236_E009.pt
S09634_L0227_E009,no news at all of him i'm afraid,menu i'm afraid,25.0,8,2,"No news at all of him, I'm afraid.",100.0,no news at all of him i'm afraid,"No news at all of him, I'm afraid.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09634_L0227_E009.pt
S09637_L0225_E009,take a look at them will you,take will you,42.8571428571,7,3,"Take a look at them, will you?",100.0,take a look at them will you,Take a look at them will you?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09637_L0225_E009.pt
S09637_L0231_E009,take a look at them will you,take a look at them will you,100.0,7,7,"Taking a quick bend, will you?",42.857142857142854,a will you,Take a look at them will you?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09637_L0231_E009.pt
S09641_L0222_E009,is there going to be a book,is there going to be a book,100.0,7,7,Is there going to be a book?,100.0,is there going to be a book,Is there going to be a book?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09641_L0222_E009.pt
S09646_L0209_E009,any kind of treatment or rehabilitation is impossible,any kind of treatment or rehabilitation is impossible,100.0,8,8,Any kind of treatment or rehabilitation is impossible.,100.0,any kind of treatment or rehabilitation is impossible,Any kind of treatment or rehabilitation is impossible.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09646_L0209_E009.pt
S09649_L0209_E009,money apparently was no object although there was no money,money was no object although there was no money,90.0,10,9,"Money apparently is no object, although there was no money.",90.0,money apparently was no object although there no money,"Money apparently was no object, although there was no money.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09649_L0209_E009.pt
S09655_L0218_E009,and the good must triumph over the bad,and the good must triumph over the bad,100.0,8,8,And the good must triumph over the bad.,100.0,and the good must triumph over the bad,And the good must triumph over the bad.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09655_L0218_E009.pt
S09655_L0221_E009,and the good must triumph over the bad,and the good must triumph over the bad,100.0,8,8,And the good must triumph over the bad.,100.0,and the good must triumph over the bad,And the good must triumph over the bad.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09655_L0221_E009.pt
S09666_L0206_E009,smoking is dangerous for you and your baby,smoking is dangerous for you and your baby,100.0,8,8,Smoking is dangerous for you and your baby.,100.0,smoking is dangerous for you and your baby,Smoking is dangerous for you and your baby.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09666_L0206_E009.pt
S09669_L0212_E009,she will travel there later this afternoon from here,she will travel there later this afternoon from here,100.0,9,9,She will travel there later this afternoon from here.,100.0,she will travel there later this afternoon from here,She will travel there later this afternoon from here.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09669_L0212_E009.pt
S09669_L0221_E009,she will travel there later this afternoon from here,she will travel there later this afternoon from here,100.0,9,9,She will travel there later this afternoon from here.,100.0,she will travel there later this afternoon from here,She will travel there later this afternoon from here.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09669_L0221_E009.pt
S09670_L0243_E009,just get over there and start working,just get over there and start working ,100.0,7,7,Just get over there and start working.,100.0,just get over there and start working,Just get over there and start working.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09670_L0243_E009.pt
S09673_L0227_E009,there was no such basis available for women,there was no such space available,62.5,8,5,There was no such basis available for women.,100.0,there was no such basis available for women,There was no such basis available for women.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09673_L0227_E009.pt
S09676_L0219_E009,nobody is about to tell me though,nobody is about to tell me though,100.0,7,7,Nobody is about to tell me though.,100.0,nobody is about to tell me though,Nobody is about to tell me though.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09676_L0219_E009.pt
S09678_L0240_E009,don't tell me about the girl who lost her childhood,don't tell me about the girl who lost her childhood,100.0,10,10,Don't tell me about the girl who lost her childhood.,100.0,don't tell me about the girl who lost her childhood,Don't tell me about the girl who lost her childhood.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09678_L0240_E009.pt
S09681_L0222_E009,i'm just delighted to make the team,i'm just delighted to make the team,100.0,7,7,I'm just delighted to make the team.,100.0,i'm just delighted to make the team,I'm just delighted to make the team.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09681_L0222_E009.pt
S09684_L0222_E009,allow to cool undisturbed and then pour into a jar,allow to cool undisturbed and then pour into a jar,100.0,10,10,Allow to cool undisturbed and then pour into a jar.,100.0,allow to cool undisturbed and then pour into a jar,Allow to cool undisturbed and then pour into a jar.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09684_L0222_E009.pt
S09689_L0200_E009,i'm sure your friend will have no trouble finding someone,i'm sure your friend will have no trouble finding someone,100.0,10,10,I'm sure your friend will have no trouble finding someone.,100.0,i'm sure your friend will have no trouble finding someone,I'm sure your friend will have no trouble finding someone.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09689_L0200_E009.pt
S09689_L0240_E009,i'm sure your friend will have no trouble finding someone,i'm sure your friend will have no trouble finding someone ,100.0,10,10,I'm sure your friend will have no trouble finding someone.,100.0,i'm sure your friend will have no trouble finding someone,I'm sure your friend will have no trouble finding someone.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09689_L0240_E009.pt
S09704_L0216_E009,how can i tell them how i feel about it,how could i tell them how i feel about it,90.0,10,9,How can I tell them how I feel about it?,100.0,how can i tell them how i feel about it,How can I tell them how I feel about it?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09704_L0216_E009.pt
S09707_L0243_E009,at least she knew adam was safe now,at least she knew that adam was safe now ,100.0,8,8,At least she knew Adam was safe now.,100.0,at least she knew adam was safe now,At least she knew Adam was safe now.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09707_L0243_E009.pt
S09714_L0236_E009,she wasn't used to being without a pillow,she wasn't used to being without a pillow,100.0,8,8,She wasn't used to being without a pillow.,100.0,she wasn't used to being without a pillow,She wasn't used to being without a pillow.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09714_L0236_E009.pt
S09715_L0218_E009,so we had to shrink the hall,so we had to,57.1428571429,7,4,So we had to shrink the book.,85.71428571428571,so we had to shrink the,So we had to shrink the hole.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09715_L0218_E009.pt
S09715_L0221_E009,so we had to shrink the hall,so we had to shrink the,85.7142857143,7,6,So we have to shrink the loop.,71.42857142857143,so we to shrink the,So we had to shrink the hole.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09715_L0221_E009.pt
S09716_L0222_E009,the queen sent her own sister a real princess instead,the queen sent her own sister a real princess instead,100.0,10,10,"The queen sent her own sister, a real princess instead.",100.0,the queen sent her own sister a real princess instead,"The queen sent her own sister, a real princess, instead.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09716_L0222_E009.pt
S09717_L0242_E009,at least not in front of the maid,at least not in front of the maid,100.0,8,8,"At least, not in front of the maid.",100.0,at least not in front of the maid,At least not in front of the maid.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09717_L0242_E009.pt
S09719_L0224_E009,it was difficult to tell from this distance,it was difficult to tell from this distance ,100.0,8,8,It was difficult to tell from this distance.,100.0,it was difficult to tell from this distance,It was difficult to tell from this distance.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09719_L0224_E009.pt
S09733_L0215_E009,they tend to subside as quickly as they arise,they tend to subside as quickly as they arise ,100.0,9,9,They tend to subside as quickly as they arise.,100.0,they tend to subside as quickly as they arise,They tend to subside as quickly as they arise.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09733_L0215_E009.pt
S09740_L0243_E009,my little crew of seven fish are the test bed,my little crew of seven fish had a test bed  ,80.0,10,8,My little crew of seven fish at a test bed.,80.0,my little crew of seven fish test bed,My little crew of seven fish are the test bed.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09740_L0243_E009.pt
S09753_L0224_E009,there is however an important general point at issue here,there is ,20.0,10,2,There is an important general question.,50.0,there is an important general,"There is, however, an important general pointed issue here.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09753_L0224_E009.pt
S09754_L0224_E009,let me open the wine i said,let me open the wine i said ,100.0,7,7,"Let me open the wine, Aisha.",71.42857142857143,let me open the wine,"Let me open the wine, I said.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09754_L0224_E009.pt
S09759_L0219_E009,i wouldn't have had that happen for anything,anything,12.5,8,1,I wouldn't have that happen.,62.5,i wouldn't have that happen,I wouldn't have had that happen for anything.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09759_L0219_E009.pt
S09765_L0222_E009,and how long will this last us,,0.0,7,0,And hang on with the suspense.,14.285714285714286,and,And how long will this last us?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09765_L0222_E009.pt
S09767_L0240_E009,the next question is where can they be bought,the next question is where can they be bought ,100.0,9,9,"The next question is, where can they be bought?",100.0,the next question is where can they be bought,"The next question is, where can they be bought?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09767_L0240_E009.pt
S09776_L0231_E009,it's not surprising nobody has any respect for it,it's not surprising nobody has any respect for it ,100.0,9,9,It's not surprising nobody has any respect for it.,100.0,it's not surprising nobody has any respect for it,It's not surprising nobody has any respect for it.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09776_L0231_E009.pt
S09777_L0229_E009,the banquet was a sumptuous luxurious meal,the banquet was a sumptuous luxurious meal,100.0,7,7,"The banquet was a sumptuous, luxurious meal.",100.0,the banquet was a sumptuous luxurious meal,"The banquet was a sumptuous, luxurious meal.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09777_L0229_E009.pt
S09777_L0242_E009,the banquet was a sumptuous luxurious meal,the banquet was a sumptuous luxurious meal,100.0,7,7,"The banquet was a sumptuous, luxurious meal.",100.0,the banquet was a sumptuous luxurious meal,"The banquet was a sumptuous, luxurious meal.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09777_L0242_E009.pt
S09780_L0242_E009,well i'm not going to do them,well i'm not going to do them,100.0,7,7,"Well, I'm not going to do them.",100.0,well i'm not going to do them,"Well, I'm not going to do them.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09780_L0242_E009.pt
S09790_L0239_E009,add the sugar and beat again until fluffy and light,add the sugar beat again fluffy lumps,60.0,10,6,Add the sugar and beat again until fluffy and light.,100.0,add the sugar and beat again until fluffy and light,Add the sugar and beat again until fluffy and light.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09790_L0239_E009.pt
S09793_L0209_E009,down from them were two more men,dar the bear you may,0.0,7,0,,0.0,,Down from them were two more men.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09793_L0209_E009.pt
S09811_L0206_E009,one of the men said yes we are,one of the men said yes we are,100.0,8,8,"One of the men said, yes we are.",100.0,one of the men said yes we are,"One of the men said, Yes, we are.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09811_L0206_E009.pt
S09812_L0201_E009,it is a question of fact and degree,it is a question of fact and,87.5,8,7,It is a question of fact and freedom.,87.5,it is a question of fact and,It is a question of fact and degree.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09812_L0201_E009.pt
S09818_L0224_E009,you won't lie so you still believe it,you weren't lying so you still believe it,75.0,8,6,"You won't lie, so you still believe it.",100.0,you won't lie so you still believe it,"You won't lie, so you still believe it.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09818_L0224_E009.pt
S09824_L0236_E009,i understand the poor young lady was quite a beauty,i understand the poor young lady was quite a beauty,100.0,10,10,I understand the poor young lady was quite a beauty.,100.0,i understand the poor young lady was quite a beauty,I understand the poor young lady was quite a beauty.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09824_L0236_E009.pt
S09827_L0219_E009,but mostly it's either something i've written or something old,mostly it's something i've written or something old,80.0,10,8,"But mostly, it's either something I've written, or something old.",100.0,but mostly it's either something i've written or something old,But mostly it's either something I've written or something old.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09827_L0219_E009.pt
S09828_L0239_E009,in fact it does a great deal less,in fact it does a great deal less,100.0,8,8,"In fact, it does a great deal less.",100.0,in fact it does a great deal less,"In fact, it does a great deal less.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09828_L0239_E009.pt
S09831_L0239_E009,entry can be rapid as can withdrawal,entry can be rack standard for all,42.8571428571,7,3,"Entry can be racketed, as can be drawn.",71.42857142857143,entry can be as can,"Entry can be rapid, as can withdrawal.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09831_L0239_E009.pt
S09833_L0206_E009,now what should she get for lunch,now what should she get for lunch,100.0,7,7,"Now, what should you get for lunch?",85.71428571428571,now what should get for lunch,"Now, what should she get for lunch?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09833_L0206_E009.pt
S09837_L0218_E009,it's like saying why do you breathe he said,it's like saying why do you breathe he said,100.0,9,9,"It's like saying, why do you breathe? He said.",100.0,it's like saying why do you breathe he said,"It's like saying, why do you breathe? He said.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09837_L0218_E009.pt
S09837_L0221_E009,it's like saying why do you breathe he said,it's like saying why do you breathe he said,100.0,9,9,"It's like saying, why do you breathe? He said.",100.0,it's like saying why do you breathe he said,"It's like saying, why do you breathe? He said.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09837_L0221_E009.pt
S09841_L0243_E009,the life giving wind will come soon,the life giving wind will come soon ,100.0,7,7,The life giving win will come soon.,85.71428571428571,the life giving will come soon,The life-giving wind will come soon.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09841_L0243_E009.pt
S09844_L0209_E009,i thought we hadn't seen the last of her,i thought we hadn't seen the last of her,100.0,9,9,I thought we hadn't seen the last of her.,100.0,i thought we hadn't seen the last of her,I thought we hadn't seen the last of her.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09844_L0209_E009.pt
S09846_L0217_E009,come and look at this lot lad,come and look at this lot lad,100.0,7,7,Come and look at this snot lad.,85.71428571428571,come and look at this lad,Come and look at this lot lad.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09846_L0217_E009.pt
